team_id,team_name,kenpom_net_rating
1,Duke,37.68
2,UConn,28.67
17,Arizona,38.1
22,Tennessee,27.84
33,Michigan,38.11
35,Illinois,33.98
50,Purdue,31.57
57,Iowa,23.85
