team_id,team_name,kenpom_net_rating
1,Duke,37.82
2,UConn,28.35
3,Michigan State,28.97
4,Nebraska,27.15
17,Arizona,37.83
18,Iowa State,32.98
20,Alabama,27.34
22,Tennessee,26.9
33,Michigan,37.83
34,Houston,34.44
35,Illinois,33.27
36,Arkansas,25.85
37,St. John's,26.79
43,Texas,20.24
50,Purdue,31.82
57,Iowa,23.4
